_id,Taxable Year,Zip Code,State,City,County,Returns,California AGI,Total Tax Liability
521,2022,92060,CA,Palomar Mountain,San Diego,150,"22,844,544","1,796,075"
522,2022,92061,CA,Pauma Valley,San Diego,"1,371","127,604,422","6,358,771"
523,2022,92064,CA,Poway,San Diego,"21,956","3,229,234,983","167,572,624"
524,2022,92065,CA,Ramona,San Diego,"16,968","1,624,206,461","67,581,488"
525,2022,92066,CA,Ranchita,San Diego,132,"7,411,234","184,097"
526,2022,92067,CA,Rancho Santa Fe,San Diego,"5,520","3,940,309,000","298,098,690"
527,2022,92068,CA,San Luis Rey,San Diego,152,"8,872,009","245,480"
528,2022,92069,CA,San Marcos,San Diego,"22,077","1,813,623,988","67,772,497"
529,2022,92070,CA,Santa Ysabel,San Diego,564,"68,546,842","2,698,146"
530,2022,92071,CA,Santee,San Diego,"26,198","2,258,949,811","81,255,769"
