Data Year,Fuel Type,ZIP,Number of Vehicles
2023,Battery Electric (BEV),92346,827
2023,Battery Electric (BEV),92347,4
2023,Battery Electric (BEV),92350,4
2023,Battery Electric (BEV),92352,99
2023,Battery Electric (BEV),92354,598
2023,Battery Electric (BEV),92356,12
2023,Battery Electric (BEV),92358,13
2023,Battery Electric (BEV),92359,84
2023,Battery Electric (BEV),92363,12
2023,Battery Electric (BEV),92365,9
2023,Battery Electric (BEV),92366,1
2023,Battery Electric (BEV),92368,4
2023,Battery Electric (BEV),92369,2
2023,Battery Electric (BEV),92371,97
2023,Battery Electric (BEV),92372,43
2023,Battery Electric (BEV),92373,1033
2023,Battery Electric (BEV),92374,762
2023,Battery Electric (BEV),92375,12
2023,Battery Electric (BEV),92376,501
2023,Battery Electric (BEV),92377,302
2023,Battery Electric (BEV),92378,4
2023,Battery Electric (BEV),92382,51
2023,Battery Electric (BEV),92385,9
2023,Battery Electric (BEV),92386,13
2023,Battery Electric (BEV),92391,22
2023,Battery Electric (BEV),92392,602
2023,Battery Electric (BEV),92393,7
2023,Battery Electric (BEV),92394,325
2023,Battery Electric (BEV),92395,347
2023,Battery Electric (BEV),92397,76
2023,Battery Electric (BEV),92398,6
2023,Battery Electric (BEV),92399,754
2023,Battery Electric (BEV),92401,6
2023,Battery Electric (BEV),92404,303
2023,Battery Electric (BEV),92405,142
2023,Battery Electric (BEV),92406,1
2023,Battery Electric (BEV),92407,783
2023,Battery Electric (BEV),92408,133
2023,Battery Electric (BEV),92410,162
